frame,time,period,left_occupancy,right_occupancy,left_blocked_cum,right_blocked_cum,left_blocked_in_frame,right_blocked_in_frame,left_latest_event,right_latest_event
0,06:00,Early morning (off-peak),0,0,0,0,False,False,—,—
1,06:01,Early morning (off-peak),0,0,0,0,False,False,—,—
2,06:02,Early morning (off-peak),0,0,0,0,False,False,—,—
3,06:02,Early morning (off-peak),0,0,0,0,False,False,—,—
4,06:03,Early morning (off-peak),0,0,0,0,False,False,—,—
5,06:04,Early morning (off-peak),0,0,0,0,False,False,—,—
6,06:04,Early morning (off-peak),0,0,0,0,False,False,—,—
7,06:05,Early morning (off-peak),0,0,0,0,False,False,—,—
8,06:06,Early morning (off-peak),0,0,0,0,False,False,—,—
9,06:06,Early morning (off-peak),0,0,0,0,False,False,—,—
10,06:07,Early morning (off-peak),0,0,0,0,False,False,—,—
11,06:08,Early morning (off-peak),0,0,0,0,False,False,—,—
12,06:08,Early morning (off-peak),0,0,0,0,False,False,—,—
13,06:09,Early morning (off-peak),0,0,0,0,False,False,—,—
14,06:10,Early morning (off-peak),0,0,0,0,False,False,—,—
15,06:10,Early morning (off-peak),0,0,0,0,False,False,—,—
16,06:11,Early morning (off-peak),0,0,0,0,False,False,—,—
17,06:12,Early morning (off-peak),0,0,0,0,False,False,—,—
18,06:12,Early morning (off-peak),0,0,0,0,False,False,—,—
19,06:13,Early morning (off-peak),0,0,0,0,False,False,—,—
20,06:14,Early morning (off-peak),0,0,0,0,False,False,—,—
21,06:14,Early morning (off-peak),0,0,0,0,False,False,—,—
22,06:15,Early morning (off-peak),0,0,0,0,False,False,—,—
23,06:16,Early morning (off-peak),0,0,0,0,False,False,—,—
24,06:16,Early morning (off-peak),0,0,0,0,False,False,—,—
25,06:17,Early morning (off-peak),0,0,0,0,False,False,—,—
26,06:18,Early morning (off-peak),0,0,0,0,False,False,—,—
27,06:18,Early morning (off-peak),0,0,0,0,False,False,—,—
28,06:19,Early morning (off-peak),0,0,0,0,False,False,—,—
29,06:20,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
30,06:20,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
31,06:21,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
32,06:22,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
33,06:22,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
34,06:23,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
35,06:24,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
36,06:24,Early morning (off-peak),1,0,0,0,False,False,ARRIVAL,—
37,06:25,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
38,06:26,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
39,06:26,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
40,06:27,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
41,06:28,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
42,06:28,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
43,06:29,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
44,06:30,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
45,06:30,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
46,06:31,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
47,06:32,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
48,06:32,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
49,06:33,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
50,06:34,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
51,06:34,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
52,06:35,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
53,06:36,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
54,06:36,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
55,06:37,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
56,06:38,Early morning (off-peak),1,1,0,0,False,False,ARRIVAL,ARRIVAL
57,06:38,Early morning (off-peak),2,1,0,0,False,False,ARRIVAL,ARRIVAL
58,06:39,Early morning (off-peak),2,1,0,0,False,False,ARRIVAL,ARRIVAL
